no,Nama Provinsi,Kode Provinsi,Nama Provinsi,Kode Provinsi,kodeUN
1,Aceh,11,Aceh,11,ID.AC
17,Bali,51,Bali,51,ID.BA
16,Banten,36,Banten,36,ID.BT
7,Bengkulu,17,Bengkulu,17,ID.BE
14,Di Yogyakarta,34,Di Yogyakarta,34,ID.YO
11,Dki Jakarta,31,Dki Jakarta,31,ID.JK
29,Gorontalo,75,Gorontalo,75,ID.GO
5,Jambi,15,Jambi,15,ID.JA
12,Jawa Barat,32,Jawa Barat,32,ID.JR
13,Jawa Tengah,33,Jawa Tengah,33,ID.JT
15,Jawa Timur,35,Jawa Timur,35,ID.JI
20,Kalimantan Barat,61,Kalimantan Barat,61,ID.KB
22,Kalimantan Selatan,63,Kalimantan Selatan,63,ID.KS
21,Kalimantan Tengah,62,Kalimantan Tengah,62,ID.KT
23,Kalimantan Timur,64,Kalimantan Timur,64,ID.KI
24,Kalimantan Utara,65,Kalimantan Utara,65,ID.KU
9,Kep. Bangka Belitung,19,Kep. Bangka Belitung,19,ID.BB
10,Kep. Riau,21,Kep. Riau,21,ID.KR
8,Lampung,18,Lampung,18,ID.LA
31,Maluku,81,Maluku,81,ID.MA
32,Maluku Utara,82,Maluku Utara,82,ID.MU
18,Nusa Tenggara Barat,52,Nusa Tenggara Barat,52,ID.NB
19,Nusa Tenggara Timur,53,Nusa Tenggara Timur,53,ID.NT
34,Papua,94,Papua,91,ID.IB
33,Papua Barat,91,Papua Barat,92,ID.PA
4,Riau,14,Riau,14,ID.RI
30,Sulawesi Barat,76,Sulawesi Barat,76,ID.SR
27,Sulawesi Selatan,73,Sulawesi Selatan,73,ID.SE
26,Sulawesi Tengah,72,Sulawesi Tengah,72,ID.ST
28,Sulawesi Tenggara,74,Sulawesi Tenggara,74,ID.SG
25,Sulawesi Utara,71,Sulawesi Utara,71,ID.SW
3,Sumatera Barat,13,Sumatera Barat,13,ID.SB
6,Sumatera Selatan,16,Sumatera Selatan,16,ID.SL
2,Sumatera Utara,12,Sumatera Utara,12,ID.SU
